WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes	
item_389	item_252	games_routines	ojitos (rutina diaria y/o reglas sociales)	eyes	look at me	blink		I suggest blink (blinking) for the gloss.	*
item_390		games_routines	okay	okay					
item_391		games_routines	pon pon tata	Pon pon tata (song)					
item_392	item_253	games_routines	por favor	please	please				
item_393		games_routines	salud (expresión después de estornudar)	bless you	bless you			after someone sneezes	*
item_394		games_routines	shhh	shhh	shh				
item_395		games_routines	siesta	nap			nap		*
item_396	item_257	games_routines	tengo manita	I have a little hand (song)	have hands				
item_397		games_routines	te voy a pegar...	I'm going to hit you		I'm going to slap you	hit	I'm going to slap you more accurate as a gloss	*
item_398	item_258	games_routines	tortillitas	Tortillitas for Mommy (song)	pattycake				
item_399		games_routines	uno dos tres...	one two three	one two three				
item_400		games_routines	vámonos	let's go			leave		*
item_401	item_285	action_words	ir(se)	go to	go				
item_402		action_words	jalar	pull	pull		pull		
item_403	item_286	action_words	jugar	to play	play				
item_404		action_words	juntar (acción)	put together			build	assemble? gather? - by reading the manual I think in this case "juntar" means more like assemble (put together is ok too) and therefore the best unilemma for it would be build	*
item_405		action_words	lastimar(se)	to hurt	hurt (action)		hurt (action)		
item_406	item_287	action_words	lavar(se)	wash	wash				
item_407	item_288	action_words	leer	read	read				
item_408		action_words	levantar(se)	lift	lift (action)		stand	I suggest stand for unilemma	*
item_409	item_289	action_words	llevar(se)	carry	take	take		I suggest take as gloss as well	*
item_410	item_290	action_words	llorar	mourn	cry	cry		I suggest cry as gloss instead of mourn	*
item_411		action_words	llover	to rain	rain		rain		
item_412	item_291	action_words	meter(se)	get into	put				
item_413	item_292	action_words	mirar	to see	look				
item_414	item_294	action_words	morder	to bite	bite				
item_415		action_words	nadar	to swim	swim		swim		
item_416		action_words	oír	hear	hear		hear		
item_417	item_295	action_words	parar(se)	to stop	stop	stand up	stand	according to the manual parar(se) fits better with stand up and stand	*
item_418		action_words	patear	to kick	kick		kick		
item_419		action_words	patinar	to skate	skate		skate		
item_420	item_296	action_words	pegar(se)	to hit	hit				
item_421	item_297	action_words	peinar(se)	to comb	comb (action)				
item_422		action_words	pensar	to think	think		think		
item_423		action_words	perder	to waste		to lose	miss	to lose and miss more accurate according to the manual	*
item_424	item_298	action_words	pintar	to paint	paint (action)				
item_425		action_words	platicar	talk	talk		talk		
item_426	item_299	action_words	poder (acción)	be able to	can (auxiliary)				*
item_427	item_300	action_words	poner(se)	put on	put				
item_428	item_301	action_words	prender	switch on	turn on				
item_429		action_words	quedar(se)	stay	stay	to stay			*
item_430		action_words	quemar(se)	burn down	burn (action)		burn (action)		
item_431	item_302	action_words	querer	want to	wanna				*
item_432		action_words	quitar(se)	take off	remove		remove		
item_433		action_words	regalar	give away	give	gift (action)	give	according to the manual gift suits better than give away as gloss	*
item_434	item_303	action_words	romper	to break	break				
item_435		action_words	saber	to know	know		know		
item_436	item_304	action_words	sacar	put off	take		take		
item_437		action_words	salir(se)	going out	leave		leave		
item_438		action_words	saltar	to jump	jump		jump		
item_439		action_words	saludar	to greet	greet		greet		
item_440	item_306	action_words	sentar(se)	sit	sit				
item_441	item_307	action_words	soplar	to blow	blow				
item_442		action_words	subir(se)	to go up	climb				
item_443		action_words	tapar	to cover	cover (action)		cover (action)		
item_444	item_309	action_words	tener	to have	have				
item_445		action_words	terminar	to finish	finish		finish		
item_446	item_310	action_words	tirar	to throw	throw				
item_447	item_311	action_words	tocar	to touch	touch				
item_448	item_312	action_words	tomar(se)	to take	take				
item_449		action_words	traer(se)	to bring	bring				
item_450		action_words	venir(se)	to come	come				
item_451		action_words	ver(se)	to see	see				
item_452		action_words	acabar	to finish	finish				
item_453		action_words	acompañar	to join		go with (acccompany)	accompany		*
item_454		action_words	acostar(se)	lay down			lay down	also refers to sleep. Not sure if make a disctintion here (add it or not as new uni_lemma	*
item_455		action_words	agarrar	to grab		hold	hold		*
item_456		action_words	almorzar	to launch		to have lunch	lunch (action)		*
item_457		action_words	amarrar(se)	to tie up			tie (action)		
item_458		action_words	andar	walk			walk		*
item_459	item_262	action_words	apagar	to turn off	turn off				
item_460	item_263	action_words	apurar(se)	hurry	hurry				
item_461		action_words	arreglar(se)	to fix			fix		*
item_462		action_words	asustar(se)	to frighten			scared		*
item_463	item_264	action_words	aventar	to blow	throw	to throw		to throw suits better than to blow as gloss	*
item_464	item_265	action_words	ayudar	to help	help				
item_465	item_266	action_words	bailar	to dance	dance				
item_466		action_words	bajar(se)	to come down			lower (action)		*
item_467		action_words	barrer	to sweep			sweep		*
item_468		action_words	besar	to kiss			kiss		*
item_469	item_267	action_words	brincar	to hop	jump				
item_470		action_words	buscar	search for			watch (action)		*
item_471		action_words	caber	to fit			fit		*
item_472	item_268	action_words	caer(se)	to fall	fall				
item_473		action_words	callar(se)	shut up			silence (action)		*
item_474	item_269	action_words	caminar	walk	walk				
item_475	item_270	action_words	cantar	to sing	sing				
item_476		action_words	cargar	to load			carry		*
item_477	item_271	action_words	cenar	to have dinner	eat dinner		dine	I suggest dinner as a new_unilemma	*
item_478	item_272	action_words	cerrar	to close	close		close (action)		
item_479		action_words	cocinar	to cook			cook		*
item_480	item_273	action_words	comer(se)	to eat	eat				
item_481		action_words	comprar	to purchase			buy		*
item_482	item_274	action_words	correr	run	run				
item_483		action_words	cortar	to cut			cut		*
item_484	item_275	action_words	dar	to give	give				
item_485	item_276	action_words	decir	to say	say				
item_486	item_277	action_words	desayunar	to have breakfast	eat breakfast			I suggest breakfast as new unilemma?	*
item_487	item_278	action_words	dibujar	to draw	draw				
item_488	item_279	action_words	doler	hurt	hurt (action)				
item_489	item_280	action_words	dormir(se)	to sleep	sleep				
item_490	item_281	action_words	empujar	push	push				
item_491		action_words	encontrar	to find			find		*
item_492	item_282	action_words	enseñar	to teach	show				
item_493		action_words	entrar	to enter			enter		*
item_494		action_words	equivocar(se)	to make a mistake			mistake		*
